date, value
12/1/1927,15.9099
1/1/1928,14.8898
2/1/1928,14.6271
3/1/1928,16.339
4/1/1928,15.8
5/1/1928,16
6/1/1928,15.312
7/1/1928,14.8321
8/1/1928,15.9313
9/1/1928,16.1374
10/1/1928,15.7101
11/1/1928,17.5942
12/1/1928,17.6449
1/1/1929,17.875
2/1/1929,17.7708
3/1/1929,17.7292
4/1/1929,17.2933
5/1/1929,16.5533
6/1/1929,18.2733
7/1/1929,18.6323
8/1/1929,20.4581
9/1/1929,19.4581
10/1/1929,15
11/1/1929,12.9938
12/1/1929,13.323
1/1/1930,15.7172
2/1/1930,16.0552
3/1/1930,16.6552
4/1/1930,19.3023
5/1/1930,18.9845
6/1/1930,15.8605
7/1/1930,18.7699
8/1/1930,18.9115
9/1/1930,16.4513
10/1/1930,17.4639
11/1/1930,17.0825
12/1/1930,15.8144
1/1/1931,18.2841
2/1/1931,20.375
3/1/1931,18.9659
4/1/1931,19.1013
5/1/1931,16.481
6/1/1931,18.7722
7/1/1931,19.6143
8/1/1931,19.8
9/1/1931,13.8714
10/1/1931,17.2623
11/1/1931,15.5738
12/1/1931,13.3115
1/1/1932,14.0893
2/1/1932,14.8036
3/1/1932,13.0536
4/1/1932,11.4314
5/1/1932,8.7647
6/1/1932,8.6863
7/1/1932,13.2609
8/1/1932,18.2391
9/1/1932,17.5652
10/1/1932,16.9756
11/1/1932,15.9756
12/1/1932,16.8049
1/1/1933,16.5238
2/1/1933,13.4762
3/1/1933,13.9286
4/1/1933,19.3488
5/1/1933,22.4186
6/1/1933,25.3721
7/1/1933,23.1395
8/1/1933,25.7907
9/1/1933,22.8605
10/1/1933,20.3636
11/1/1933,22.4545
12/1/1933,22.9545
1/1/1934,24.8222
2/1/1934,23.9111
3/1/1934,23.8889
4/1/1934,22.2553
5/1/1934,20.4468
6/1/1934,20.8723
7/1/1934,18.0833
8/1/1934,19.0625
9/1/1934,18.9583
10/1/1934,17.9796
11/1/1934,19.4694
12/1/1934,19.3878
1/1/1935,12.4658
2/1/1935,11.9726
3/1/1935,11.6027
4/1/1935,11.4568
5/1/1935,11.8272
6/1/1935,12.6296
7/1/1935,14.5789
8/1/1935,14.8947
9/1/1935,15.25
10/1/1935,16.3947
11/1/1935,17.0395
12/1/1935,17.6711
1/1/1936,18.1139
2/1/1936,18.4177
3/1/1936,18.8861
4/1/1936,15.6477
5/1/1936,16.3636
6/1/1936,16.8636
7/1/1936,16.8617
8/1/1936,17.0106
9/1/1936,17.0319
10/1/1936,16.8725
11/1/1936,16.9412
12/1/1936,16.8431
1/1/1937,16.0631
2/1/1937,16.2973
3/1/1937,16.1441
4/1/1937,14.0427
5/1/1937,13.8974
6/1/1937,13.1624
7/1/1937,13.918
8/1/1937,13.1475
9/1/1937,11.2787
10/1/1937,10.9381
11/1/1937,9.8319
12/1/1937,9.3363
1/1/1938,11.0206
2/1/1938,11.6907
3/1/1938,8.7629
4/1/1938,12.5974
5/1/1938,12.039
6/1/1938,15.013
7/1/1938,20
8/1/1938,19.4516
9/1/1938,19.7419
10/1/1938,20.5781
11/1/1938,19.8906
12/1/1938,20.6406
1/1/1939,17.3239
2/1/1939,17.8873
3/1/1939,15.4648
4/1/1939,14.3684
5/1/1939,15.2632
6/1/1939,14.2895
7/1/1939,14.8642
8/1/1939,13.8025
9/1/1939,16.0741
10/1/1939,14.2556
11/1/1939,13.5556
12/1/1939,13.8778
1/1/1940,12.1717
2/1/1940,12.2525
3/1/1940,12.3737
4/1/1940,11.7212
5/1/1940,8.9135
6/1/1940,9.5962
7/1/1940,9.5278
8/1/1940,9.7778
9/1/1940,9.8704
10/1/1940,10.5524
11/1/1940,10.1048
12/1/1940,10.0762
1/1/1941,9.5
2/1/1941,9.3585
3/1/1941,9.3962
4/1/1941,8.5413
5/1/1941,8.578
6/1/1941,9.0367
7/1/1941,8.7311
8/1/1941,8.6555
9/1/1941,8.5714
10/1/1941,8.1897
11/1/1941,7.8448
12/1/1941,7.4914
1/1/1942,8.4712
2/1/1942,8.2596
3/1/1942,7.7019
4/1/1942,7.8163
5/1/1942,8.3163
6/1/1942,8.4694
7/1/1942,9.1064
8/1/1942,9.1702
9/1/1942,9.4149
10/1/1942,9.1456
11/1/1942,9.0194
12/1/1942,9.4854
1/1/1943,9.785
2/1/1943,10.2804
3/1/1943,10.8224
4/1/1943,10.5364
5/1/1943,11.0091
6/1/1943,11.2273
7/1/1943,10.8148
8/1/1943,10.9259
9/1/1943,11.1852
10/1/1943,12.6809
11/1/1943,11.7234
12/1/1943,12.4149
1/1/1944,12.7419
2/1/1944,12.7097
3/1/1944,12.9247
4/1/1944,12.9022
5/1/1944,13.4239
6/1/1944,14.1087
7/1/1944,14.1222
8/1/1944,14.2444
9/1/1944,14.2
10/1/1944,13.7419
11/1/1944,13.7957
12/1/1944,14.2796
1/1/1945,14.0313
2/1/1945,14.8958
3/1/1945,14.2083
4/1/1945,14.84
5/1/1945,15.01
6/1/1945,14.96
7/1/1945,14.8081
8/1/1945,15.6667
9/1/1945,16.3232
10/1/1945,17.3438
11/1/1945,17.9063
12/1/1945,18.0833
1/1/1946,20.6333
2/1/1946,19.2
3/1/1946,20.0889
4/1/1946,22.3333
5/1/1946,22.8333
6/1/1946,21.9405
7/1/1946,20.1798
8/1/1946,18.7079
9/1/1946,16.809
10/1/1946,14
11/1/1946,13.8396
12/1/1946,14.434
1/1/1947,12.3307
2/1/1947,12.1496
3/1/1947,11.9449
4/1/1947,10.125
5/1/1947,10.0347
6/1/1947,10.5625
7/1/1947,10.1677
8/1/1947,9.8839
9/1/1947,9.7484
10/1/1947,9.5839
11/1/1947,9.3106
12/1/1947,9.5031
1/1/1948,8.5906
2/1/1948,8.1871
